disease,precaution
Fungal infection,"Keep skin clean and dry, wear breathable clothing, avoid sharing personal items like towels, use antifungal powders in susceptible areas."
Allergy,"Identify and avoid allergens, use air purifiers, keep windows closed during high pollen seasons, take prescribed antihistamines."
GERD,"Maintain a healthy weight, eat smaller meals, avoid trigger foods (spicy, fatty), don't lie down immediately after eating, elevate head during sleep."
Chronic cholestasis,"Follow a doctor's treatment plan, avoid alcohol, maintain a balanced diet, get regular check-ups to monitor liver function."
Drug Reaction,"Always inform doctors of known allergies, read medication labels carefully, carry an epinephrine auto-injector if severe."
Peptic ulcer disease,"Avoid NSAIDs, limit alcohol, don't smoke, manage stress, eat a balanced diet."
AIDS,"Practice safe sex, never share needles, use PrEP if high risk, ensure blood products are screened for HIV."
Diabetes,"Maintain a healthy diet, exercise regularly, monitor blood sugar levels, take medications as prescribed, get regular foot and eye exams."
Gastroenteritis,"Wash hands frequently, practice good food hygiene, drink clean water, get vaccinated for rotavirus (for children)."
Hypertension,"Reduce salt intake, exercise regularly, maintain a healthy weight, limit alcohol, manage stress, take prescribed medications."
Migraine,"Identify and avoid triggers (certain foods, stress, lack of sleep), stay hydrated, maintain a regular sleep schedule."
Cervical spondylosis,"Maintain good posture, take breaks from desk work, do neck-strengthening exercises, avoid neck strain."
Paroxysmal positional vertigo,"Learn and perform repositioning maneuvers (e.g., Epley) with a professional, move head slowly and carefully."
Jaundice,"Get vaccinated for hepatitis, practice safe sex, avoid excessive alcohol, maintain good hygiene to prevent infections."
Malaria,"Use mosquito repellent, sleep under insecticide-treated nets, take antimalarial prophylaxis when traveling to endemic areas."
Chickenpox,"Get vaccinated, avoid contact with infected individuals, maintain good hygiene to prevent spread."
Dengue,"Prevent mosquito bites using repellent and nets, eliminate standing water where mosquitoes breed."
Typhoid,"Get vaccinated for high-risk areas, drink clean water, practice good hand hygiene, eat thoroughly cooked food."
Hepatitis A,"Get vaccinated, practice good hand hygiene, drink clean water, eat properly cooked food."
Hepatitis B,"Get vaccinated, practice safe sex, never share needles or personal items like razors, ensure safe blood transfusions."
Hepatitis C,"Never share needles, practice safe sex, ensure safe blood transfusions and tattoo/body piercing equipment."
Hepatitis D,"Get vaccinated against Hepatitis B, as HDV only infects those with HBV."
